palabra,The Beatles,The Rolling Stones,Beach Boys,The Who,The Doors,Led Zeppelin,Jimi Hendrix,Pink Floyd,Velvet Underground,Byrds,The Kinks,The Temptations,The Supremes,The Animals,The Yardbirds,total
die,31.0,36.0,32.0,36.0,33.0,9.0,7.0,10.0,8.0,29.0,45.0,23.0,14.0,46.0,6.0,365.0
goin,21.0,78.0,93.0,25.0,33.0,18.0,25.0,0.0,5.0,25.0,8.0,7.0,5.0,17.0,4.0,364.0
lost,27.0,69.0,21.0,22.0,19.0,7.0,1.0,13.0,1.0,12.0,70.0,47.0,28.0,16.0,11.0,364.0
nobody,54.0,34.0,16.0,20.0,3.0,16.0,4.0,7.0,5.0,11.0,83.0,32.0,40.0,30.0,8.0,363.0
happy,53.0,43.0,53.0,22.0,0.0,7.0,16.0,1.0,5.0,17.0,54.0,29.0,53.0,7.0,3.0,363.0
talk,16.0,56.0,60.0,27.0,8.0,13.0,11.0,25.0,16.0,14.0,34.0,17.0,24.0,35.0,5.0,361.0
morning,55.0,32.0,46.0,32.0,27.0,13.0,10.0,20.0,10.0,20.0,51.0,8.0,8.0,14.0,15.0,361.0
looking,30.0,48.0,15.0,40.0,4.0,12.0,10.0,10.0,12.0,15.0,81.0,17.0,16.0,24.0,24.0,358.0
told,65.0,44.0,27.0,27.0,8.0,14.0,10.0,12.0,9.0,16.0,27.0,27.0,25.0,37.0,9.0,357.0
since,35.0,26.0,25.0,12.0,7.0,19.0,8.0,4.0,17.0,22.0,24.0,72.0,45.0,30.0,10.0,356.0
fine,36.0,34.0,45.0,23.0,7.0,17.0,10.0,1.0,23.0,23.0,61.0,33.0,19.0,8.0,15.0,355.0
feeling,36.0,53.0,22.0,31.0,9.0,8.0,3.0,23.0,10.0,10.0,49.0,31.0,38.0,24.0,8.0,355.0
days,25.0,35.0,48.0,20.0,23.0,16.0,12.0,8.0,8.0,17.0,85.0,16.0,23.0,14.0,2.0,352.0
cold,9.0,112.0,22.0,39.0,20.0,8.0,14.0,28.0,3.0,10.0,36.0,17.0,26.0,5.0,3.0,352.0
somebody,27.0,77.0,6.0,32.0,29.0,10.0,9.0,1.0,9.0,7.0,35.0,23.0,47.0,26.0,12.0,350.0
break,26.0,85.0,23.0,32.0,19.0,14.0,5.0,16.0,7.0,17.0,39.0,11.0,41.0,11.0,3.0,349.0
thought,27.0,53.0,37.0,23.0,4.0,11.0,6.0,22.0,14.0,27.0,72.0,16.0,22.0,6.0,7.0,347.0
fun,39.0,30.0,132.0,14.0,14.0,6.0,5.0,6.0,11.0,8.0,29.0,7.0,32.0,6.0,8.0,347.0
mean,44.0,44.0,52.0,41.0,22.0,13.0,10.0,11.0,4.0,10.0,42.0,12.0,14.0,22.0,6.0,347.0
took,23.0,49.0,59.0,14.0,29.0,18.0,10.0,12.0,8.0,11.0,38.0,17.0,28.0,20.0,9.0,345.0
came,40.0,12.0,36.0,9.0,34.0,7.0,25.0,13.0,7.0,33.0,44.0,17.0,33.0,31.0,2.0,343.0
listen,32.0,31.0,50.0,23.0,32.0,7.0,14.0,8.0,2.0,9.0,49.0,43.0,15.0,25.0,2.0,342.0
fire,6.0,39.0,17.0,36.0,39.0,11.0,23.0,15.0,4.0,21.0,37.0,32.0,21.0,39.0,1.0,341.0
far,30.0,36.0,32.0,21.0,13.0,8.0,14.0,18.0,4.0,25.0,83.0,7.0,26.0,16.0,8.0,341.0
even,23.0,35.0,30.0,29.0,2.0,1.0,26.0,17.0,9.0,17.0,74.0,40.0,18.0,14.0,4.0,339.0
done,37.0,48.0,16.0,44.0,19.0,8.0,5.0,12.0,2.0,15.0,57.0,25.0,29.0,11.0,10.0,338.0
friends,33.0,40.0,23.0,25.0,17.0,9.0,2.0,12.0,9.0,30.0,89.0,18.0,22.0,5.0,4.0,338.0
stand,13.0,52.0,30.0,20.0,7.0,13.0,12.0,19.0,16.0,26.0,56.0,38.0,18.0,12.0,5.0,337.0
today,34.0,21.0,25.0,27.0,17.0,9.0,17.0,17.0,2.0,48.0,72.0,14.0,22.0,6.0,6.0,337.0
sad,37.0,68.0,24.0,24.0,5.0,8.0,4.0,9.0,9.0,13.0,46.0,41.0,31.0,6.0,11.0,336.0
goes,42.0,39.0,46.0,29.0,7.0,14.0,14.0,5.0,12.0,26.0,63.0,10.0,14.0,7.0,7.0,335.0
friend,31.0,44.0,20.0,21.0,30.0,9.0,16.0,10.0,14.0,27.0,34.0,26.0,30.0,19.0,2.0,333.0
heard,32.0,45.0,25.0,29.0,37.0,6.0,6.0,17.0,15.0,8.0,19.0,60.0,12.0,18.0,4.0,333.0
knew,49.0,31.0,50.0,22.0,4.0,10.0,3.0,10.0,3.0,39.0,35.0,21.0,32.0,7.0,16.0,332.0
wait,41.0,43.0,62.0,9.0,12.0,10.0,37.0,6.0,3.0,14.0,35.0,9.0,42.0,7.0,1.0,331.0
lord,15.0,64.0,34.0,8.0,11.0,19.0,77.0,2.0,0.0,15.0,23.0,9.0,7.0,47.0,0.0,331.0
