palabra,categoria,total_1960,total_1970,total_1980,total_1990,total_2000,total_2010,total_2020
loose,ADJ,83.0,51.0,102.0,66.0,197.0,69.0,43.0
future,NOUN,82.0,161.0,540.0,148.0,141.0,178.0,117.0
bell,NOUN,82.0,42.0,75.0,46.0,42.0,17.0,10.0
bucket,NOUN,81.0,0.0,6.0,3.0,30.0,10.0,7.0
hour,NOUN,81.0,119.0,166.0,81.0,123.0,59.0,44.0
trust,NOUN,81.0,92.0,214.0,111.0,282.0,360.0,163.0
weather,NOUN,81.0,43.0,50.0,46.0,62.0,59.0,38.0
island,NOUN,81.0,51.0,43.0,38.0,32.0,31.0,48.0
mirror,NOUN,80.0,37.0,157.0,106.0,139.0,126.0,108.0
misery,NOUN,80.0,35.0,108.0,34.0,43.0,33.0,16.0
darkness,NOUN,80.0,111.0,177.0,37.0,122.0,95.0,47.0
feelin,NOUN,79.0,99.0,121.0,65.0,499.0,203.0,267.0
single,ADJ,79.0,64.0,105.0,53.0,165.0,172.0,77.0
tough,ADJ,79.0,92.0,59.0,48.0,144.0,54.0,52.0
dry,ADJ,79.0,57.0,141.0,85.0,89.0,84.0,84.0
doop,NOUN,78.0,0.0,31.0,16.0,0.0,0.0,0.0
heat,NOUN,78.0,73.0,229.0,44.0,243.0,77.0,103.0
ship,NOUN,77.0,36.0,83.0,43.0,42.0,33.0,19.0
movin,NOUN,77.0,28.0,94.0,59.0,231.0,46.0,82.0
gas,NOUN,77.0,44.0,53.0,19.0,136.0,42.0,62.0
quiet,ADJ,77.0,30.0,74.0,59.0,81.0,81.0,105.0
doot,NOUN,76.0,0.0,0.0,0.0,0.0,3.0,0.0
pride,NOUN,76.0,101.0,141.0,79.0,176.0,106.0,42.0
solo,NOUN,75.0,29.0,53.0,29.0,42.0,22.0,169.0
lovely,ADJ,74.0,55.0,75.0,52.0,61.0,28.0,20.0
birds,NOUN,74.0,37.0,49.0,80.0,81.0,48.0,36.0
special,ADJ,74.0,105.0,149.0,85.0,186.0,90.0,64.0
repeat,NOUN,72.0,149.0,296.0,161.0,213.0,54.0,32.0
rule,NOUN,72.0,37.0,96.0,42.0,91.0,45.0,23.0
mouth,NOUN,71.0,31.0,274.0,135.0,449.0,188.0,191.0
satisfied,ADJ,71.0,40.0,123.0,22.0,48.0,39.0,24.0
bill,NOUN,71.0,22.0,19.0,28.0,81.0,39.0,39.0
moonlight,NOUN,71.0,55.0,69.0,10.0,30.0,28.0,65.0
sunny,ADJ,71.0,41.0,21.0,21.0,26.0,16.0,44.0
simple,ADJ,71.0,50.0,68.0,88.0,89.0,76.0,69.0
lazy,ADJ,71.0,40.0,12.0,52.0,32.0,18.0,9.0
ocean,NOUN,71.0,55.0,105.0,82.0,142.0,72.0,82.0
edge,NOUN,70.0,62.0,102.0,61.0,95.0,150.0,41.0
machine,NOUN,70.0,82.0,89.0,72.0,97.0,33.0,16.0
scene,NOUN,70.0,60.0,108.0,82.0,128.0,60.0,71.0
soft,ADJ,70.0,26.0,84.0,48.0,102.0,39.0,45.0
tall,ADJ,69.0,57.0,152.0,30.0,50.0,55.0,51.0
midnight,NOUN,69.0,105.0,163.0,36.0,84.0,48.0,63.0
moment,NOUN,69.0,144.0,180.0,90.0,198.0,277.0,208.0
squeeze,NOUN,69.0,26.0,29.0,21.0,120.0,29.0,34.0
letter,NOUN,69.0,56.0,68.0,27.0,60.0,25.0,44.0
shoulder,NOUN,69.0,47.0,85.0,43.0,96.0,68.0,39.0
dress,NOUN,68.0,28.0,182.0,45.0,203.0,95.0,176.0
thrill,NOUN,68.0,65.0,109.0,15.0,19.0,35.0,27.0
bone,NOUN,68.0,34.0,128.0,50.0,158.0,24.0,36.0
control,NOUN,68.0,143.0,464.0,239.0,392.0,274.0,175.0
wave,NOUN,68.0,13.0,109.0,163.0,206.0,99.0,53.0
gettin,NOUN,67.0,78.0,179.0,69.0,629.0,254.0,202.0
grown,NOUN,67.0,19.0,71.0,44.0,153.0,87.0,47.0
corner,NOUN,67.0,56.0,86.0,77.0,159.0,64.0,38.0
storm,NOUN,67.0,89.0,100.0,72.0,100.0,55.0,52.0
surprise,NOUN,67.0,34.0,78.0,39.0,51.0,44.0,70.0
bop,NOUN,66.0,51.0,70.0,9.0,10.0,4.0,28.0
sittin,NOUN,66.0,24.0,23.0,42.0,127.0,54.0,61.0
awake,ADJ,66.0,30.0,49.0,67.0,89.0,80.0,44.0
job,NOUN,66.0,38.0,115.0,65.0,158.0,63.0,45.0
pie,NOUN,66.0,14.0,30.0,25.0,73.0,20.0,72.0
golden,ADJ,66.0,50.0,90.0,39.0,52.0,65.0,108.0
yellow,ADJ,66.0,13.0,47.0,60.0,94.0,53.0,57.0
fields,NOUN,66.0,23.0,53.0,54.0,15.0,15.0,2.0
daughter,NOUN,65.0,32.0,36.0,37.0,132.0,34.0,28.0
small,ADJ,65.0,70.0,96.0,70.0,120.0,76.0,64.0
race,NOUN,65.0,60.0,129.0,72.0,106.0,73.0,28.0
fancy,ADJ,65.0,22.0,41.0,9.0,28.0,97.0,49.0
songs,NOUN,65.0,84.0,84.0,96.0,116.0,95.0,75.0
toys,NOUN,65.0,32.0,26.0,49.0,27.0,8.0,21.0
walks,NOUN,65.0,38.0,35.0,40.0,62.0,25.0,21.0
glass,NOUN,65.0,33.0,128.0,82.0,150.0,99.0,56.0
key,ADJ,64.0,97.0,219.0,63.0,112.0,66.0,53.0
plane,NOUN,64.0,22.0,36.0,32.0,90.0,76.0,42.0
places,NOUN,64.0,36.0,78.0,48.0,107.0,98.0,66.0
spring,NOUN,64.0,23.0,35.0,25.0,36.0,42.0,17.0
mercy,NOUN,63.0,37.0,182.0,39.0,128.0,28.0,27.0
higher,ADJ,63.0,108.0,296.0,58.0,196.0,162.0,108.0
dad,NOUN,63.0,14.0,36.0,67.0,160.0,84.0,47.0
desire,NOUN,63.0,71.0,151.0,67.0,45.0,60.0,58.0
worth,ADJ,63.0,79.0,156.0,129.0,179.0,175.0,105.0
troubles,NOUN,63.0,44.0,51.0,23.0,20.0,37.0,11.0
reality,NOUN,62.0,39.0,62.0,28.0,71.0,55.0,13.0
skies,NOUN,62.0,79.0,64.0,85.0,93.0,49.0,40.0
afternoon,NOUN,62.0,23.0,27.0,17.0,35.0,30.0,13.0
piece,NOUN,62.0,31.0,108.0,81.0,221.0,79.0,70.0
noise,NOUN,61.0,35.0,106.0,69.0,92.0,32.0,63.0
doll,NOUN,61.0,8.0,30.0,28.0,13.0,24.0,24.0
wheel,NOUN,61.0,34.0,66.0,63.0,64.0,40.0,22.0
sorry,ADJ,61.0,109.0,1395.0,100.0,364.0,266.0,300.0
heartache,NOUN,61.0,43.0,58.0,6.0,10.0,14.0,1.0
breath,NOUN,61.0,62.0,241.0,167.0,169.0,194.0,113.0
pictures,NOUN,61.0,13.0,73.0,42.0,103.0,89.0,54.0
case,NOUN,60.0,29.0,73.0,108.0,236.0,99.0,61.0
funky,ADJ,60.0,103.0,368.0,160.0,39.0,1.0,25.0
grass,NOUN,60.0,26.0,43.0,35.0,80.0,31.0,27.0
bus,NOUN,59.0,29.0,34.0,44.0,87.0,45.0,15.0
fair,ADJ,59.0,38.0,74.0,42.0,96.0,61.0,49.0
ones,NOUN,59.0,36.0,160.0,141.0,192.0,234.0,116.0
plastic,NOUN,59.0,14.0,63.0,30.0,45.0,68.0,18.0
memory,NOUN,59.0,57.0,101.0,72.0,97.0,73.0,56.0
rough,ADJ,59.0,35.0,56.0,47.0,70.0,96.0,47.0
calls,NOUN,59.0,42.0,56.0,59.0,68.0,59.0,48.0
