palabra,Billie Eilish,Halsey,Harry Styles,Lana Del Rey,Dua Lipa,Post Malone,Megan Thee Stallion,HAIM,Taylor Swift,Bad Bunny,Ariana Grande,Travis Scott,Doja Cat,Blackpink,total
change,22.0,15.0,12.0,57.0,32.0,25.0,5.0,25.0,77.0,1.0,68.0,28.0,12.0,3.0,382.0
next,3.0,5.0,1.0,41.0,18.0,6.0,15.0,4.0,49.0,2.0,174.0,10.0,39.0,5.0,372.0
lights,5.0,6.0,6.0,95.0,72.0,9.0,2.0,20.0,114.0,0.0,11.0,16.0,6.0,4.0,366.0
hoes,0.0,0.0,0.0,1.0,1.0,35.0,221.0,0.0,0.0,0.0,8.0,66.0,24.0,2.0,358.0
gave,7.0,19.0,4.0,36.0,13.0,28.0,12.0,24.0,78.0,0.0,58.0,45.0,21.0,12.0,357.0
true,28.0,7.0,1.0,81.0,26.0,13.0,1.0,7.0,70.0,1.0,85.0,12.0,11.0,8.0,351.0
open,17.0,14.0,10.0,41.0,22.0,21.0,54.0,8.0,60.0,0.0,32.0,42.0,29.0,1.0,351.0
care,29.0,10.0,2.0,56.0,29.0,15.0,15.0,3.0,36.0,1.0,120.0,7.0,20.0,7.0,350.0
quiero,2.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,336.0,2.0,0.0,0.0,0.0,348.0
mad,8.0,7.0,1.0,18.0,46.0,17.0,94.0,3.0,60.0,0.0,25.0,19.0,27.0,21.0,346.0
ti,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,331.0,9.0,1.0,0.0,0.0,346.0
cry,21.0,16.0,1.0,78.0,26.0,9.0,13.0,1.0,99.0,0.0,50.0,1.0,26.0,4.0,345.0
voy,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,345.0
people,23.0,44.0,7.0,61.0,12.0,30.0,23.0,3.0,89.0,0.0,29.0,12.0,12.0,0.0,345.0
woman,1.0,10.0,14.0,133.0,24.0,5.0,1.0,3.0,34.0,0.0,53.0,2.0,63.0,0.0,343.0
hate,20.0,18.0,4.0,17.0,15.0,4.0,67.0,4.0,82.0,2.0,26.0,36.0,23.0,23.0,341.0
girls,7.0,8.0,2.0,75.0,9.0,7.0,24.0,2.0,43.0,0.0,42.0,10.0,47.0,64.0,340.0
days,17.0,13.0,6.0,31.0,23.0,7.0,16.0,58.0,71.0,0.0,61.0,25.0,5.0,5.0,338.0
first,4.0,12.0,8.0,36.0,8.0,12.0,18.0,7.0,158.0,2.0,37.0,20.0,14.0,2.0,338.0
yeh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,3.0,3.0,338.0
pop,1.0,0.0,16.0,14.0,4.0,20.0,82.0,0.0,1.0,2.0,12.0,115.0,57.0,13.0,337.0
pull,0.0,13.0,7.0,11.0,14.0,68.0,70.0,8.0,11.0,0.0,21.0,59.0,43.0,11.0,336.0
song,3.0,11.0,9.0,79.0,85.0,7.0,1.0,2.0,74.0,0.0,43.0,14.0,4.0,3.0,335.0
